CNAME,TARGSRVY,TARGPROG,TARGCAT,TARGID,TARGNAME,TARGPRIO,TARGUSE,TARGCLASS,PROGTEMP,OBSTEMP,GAIA_ID,GAIA_DR,GAIA_RA,GAIA_DEC,GAIA_EPOCH,GAIA_PMRA,GAIA_PMRA_ERR,GAIA_PMDEC,GAIA_PMDEC_ERR,GAIA_PARAL,GAIA_PARAL_ERR,HEALPIX,IFU_SPAXEL,IFU_PA,IFU_DITHER,MAG_G,MAG_G_ERR,MAG_R,MAG_R_ERR,MAG_I,MAG_I_ERR,GAIA_MAG_G,GAIA_MAG_G_ERR,GAIA_MAG_BP,GAIA_MAG_BP_ERR,GAIA_MAG_RP,GAIA_MAG_RP_ERR,APS_WL_MIN,APS_WL_MAX,APS_Z,APS_SIGMA,APS_TEMPL_LIB,APS_TEMPL_LIB_NORM,APS_PPXF_WL_MIN,APS_PPXF_WL_MAX,APS_PPXF_MOM,APS_PPXF_DEG_ADD,APS_PPXF_DEG_MULT,APS_PPXF_NUM_MC,APS_GAND_MODE,APS_GAND_ERR,APS_GAND_RED1,APS_GAND_RED2,APS_GAND_EBV,APS_LS_MODE,APS_LS_RES,APS_LS_NUM_MC,APS_SSP_NUM_WLKR,APS_SSP_NUM_CHAIN,APS_IFU_MASK,APS_IFU_TSSL_TYPE,APS_IFU_TSSL_TARG_SNR,APS_IFU_TSSL_MIN_SNR,APS_IFU_TSSL_COVAR,APS_IFU_SRC_ID,APS_IFU_SRC_RA,APS_IFU_SRC_DEC,APS_FLAG,OPTCAT,OPTCAT_DR,OPTCAT_ID,OPTCAT_MAG_G,OPTCAT_MAG_G_ERR,OPTCAT_MAG_I,OPTCAT_MAG_I_ERR,OPTCAT_MAG_R,OPTCAT_MAG_R_ERR
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp105s2-System,Arp105,10,T ,GALAXY,43331,NADEA,4.00E+18,DR3,167.8043377,28.71187597,2016,,,,,,,,,,5,15.1,0,14.32,0,13.99,0,19.8037,0.0183,17.4358,0.0455,15.6987,0.0105,,,0.029,177.89,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp148s1-System,Arp148,10,T,GALAXY,43331,NADEA,7.77E+17,DR3,165.9747052,40.84999742,2016,,,,,,,,,,5,15.58,0,15.05,0,14.72,0,20.516,0.0549,17.5564,0.0195,16.1592,0.0127,,,0.0353,56.92,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp172s3-System,Arp172,10,T,GALAXY,43331,NADEA,1.20E+18,DR3,241.38947,17.59657,2016,,,,,,,,,,5,15.55,0,14.59,0,14.11,0,18.9527,0.011,16.0052,0.0188,14.6264,0.0032,,,0.034,268.63,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Hearts4-System,Heart,10,T,GALAXY,43331,NADEA,1.60E+18,DR3,238.2860897,54.14727795,2016,,,,,,,,,,5,15.7,0,14.95,0,14.59,0,19.485,0.008,17.1912,0.0154,15.889,0.0108,,,0.04675,136.67,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp240s2-Primary,Arp240-1,10,T,GALAXY,41331,NADEA,3.66E+18,DR3,204.9704988,0.840088976,2016,,,,,,,,,,5,14.11,0,13.39,0,12.96,0,19.8772,0.0128,17.5672,0.0545,15.9316,0.0166,,,0.022732,121.08,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp240s2-Secondary,Arp240-2,10,T,GALAXY,43331,NADEA,,DR3,204.989115,0.832337,2016,,,,,,,,,,5,14.1,0,13.37,0,12.96,0,,,,,,,,,0.022911,,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,NGC4320s4-System,NGC4320,10,T,GALAXY,43331,NADEA,3.91E+18,DR3,185.740511,10.5483179,2016,,,,,,,,,,5,15.24,0,14.41,0,14.02,0,18.9852,0.0104,16.4933,0.0221,15.1515,0.0062,,,0.02589,157.45,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp294s1-Primary,Arp294-1,10,T,GALAXY,43331,NADEA,,DR3,174.9266297,31.9094773,2016,,,,,,,,,,5,13.28,0,12.39,0,12,0,,,,,,,,,0.00891584,,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp294s1-Secondary,Arp294-2,10,T,GALAXY,42331,NADEA,,DR3,174.9360598,31.9313525,2016,,,,,,,,,,5,13.52,0,12.58,0,12.02,0,,,,,,,,,0.008956,,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
,WS2024A1-001,,staged-interacting-galaxies.fits,Arp238s3-System,Arp238,10,T,GALAXY,43331,NADEA,,DR3,198.8854167,62.126944,2016,,,,,,,,,,5,15.17,0,14.61,0,14.19,0,,,,,,,,,0.031065,170.26,XSL,0,,,4,-1,4,0,1,1,0,0,0,1,,30,100,1000,0,VORONOI,40,2,0,,,,,,,,,,,,,
