,names,RA,Dec,Redshift,observable,when_best,best_airmass,time_rises,stage,obs_both,def_obs,exp_time
0,Arp101_1,241.13225,14.81913611,None,y,07:47,1.03,02:15,stage3,,n,
1,Arp101_2,241.1181667,14.78210278,None,y,07:47,1.03,02:15,stage3,,n,
2,Arp105_1,167.80375,28.71178056,0.021,y,02:53,1,20:52,stage3,,n,
3,Arp105_2,167.8045833,28.696225,0.021,y,02:53,1,20:52,stage3,,n,
4,Arp106_1,183.8992917,28.17772778,0.02199,y,03:53,1.0001,22:00,stage3,,n,
5,Arp106_2,183.9040417,28.169525,0.02199,y,03:53,1.0001,22:00,stage3,,n,
6,Arp107_1,163.0619583,30.05786389,0.03318,y,02:32,1.0003,20:34,stage3,,n,
7,Arp107_2,163.073125,30.072575,0.03318,y,02:32,1.0003,20:34,stage3,,n,
8,Arp142_1,144.4333333,2.760163889,0.02329,y,01:19,1.11,20:16,stage3,y,y,
9,Arp142_2,144.437875,2.746886111,0.02329,y,01:19,1.11,20:16,stage3,y,y,
10,Arp143_1,116.7207083,39.03211111,0.01339,y,23:28,1.015,17:12,stage3,,n,
11,Arp143_2,116.726,39.015025,0.01339,y,23:28,1.015,17:12,stage3,,n,
12,Arp148_1,165.971667,40.849167,0.03452,y,02:46,1.023,20:21,stage1,n,y,
13,Arp148_2,165.971667,40.849167,0.03452,y,02:46,1.023,20:21,stage1,n,y,
14,Arp172_1,241.3879167,17.60128611,0.029,y,07:47,1.019,02:13,stage3,y,y,
15,Arp172_2,241.3907917,17.59357778,0.029,y,07:47,1.019,02:13,stage3,y,y,
16,Arp173_1,222.8720833,9.334830556,0.028,y,06:30,1.059,01:17,stage3,,n,
17,Arp173_2,222.8663333,9.321913889,0.028,y,06:30,1.059,01:17,stage3,,n,
18,Arp181_1,157.0693333,79.82349167,None,y,02:06,1.59,20:00,stage3,,n,
19,Arp181_2,157.0725,79.81300278,None,y,02:06,1.59,20:00,stage3,,n,
20,Arp191_1,166.8368333,18.43294444,0.02739,y,02:49,1.017,21:13,stage4,n,y,
21,Arp191_2,166.831875,18.42978056,0.02739,y,02:49,1.017,21:13,stage4,n,y,
22,Arp199_1,214.2605417,36.57129444,0.01024,y,05:58,1.0099,23:45,stage1,,n,
23,Arp199_2,214.26775,36.57529722,0.01024,y,05:58,1.0099,23:45,stage1,,n,
24,Arp214_1,173.1475,53.06667,0.00331,y,03:19,1.098,20:16,stage3,,n,
25,Arp214_2,173.456624,53.125675,0.00331,y,03:19,1.098,20:16,stage3,,n,
26,Arp218_1,238.403625,18.60960833,0.075,y,07:32,1.016,02:01,stage3,,n,
27,Arp218_2,238.3929167,18.60372222,0.075,y,07:32,1.016,02:01,stage3,,n,
28,Arp237_1,141.931125,12.28725,0.02899,y,01:11,1.042,19:46,stage4,,n,
29,Arp237_2,141.93525,12.288225,0.02899,y,01:11,1.042,19:46,stage4,,n,
30,Arp238_1,198.8796422,62.1292197,0.03106,y,04:55,1.2,21:13,stage3,y,y,
31,Arp238_2,198.8836533,62.12464798,0.03106,y,04:55,1.2,21:13,stage3,y,y,
32,Arp239_1,205.413875,55.67073056,0.02489,y,05:24,1.12,22:10,stage2,,n,
33,Arp239_2,205.4191667,55.67385,0.02489,y,05:24,1.12,22:10,stage2,,n,
34,Arp240_1,204.9703333,0.839844444,0.0225,y,05:20,1.13,00:25,stage2,y,y,
35,Arp240_2,204.9902083,0.830666667,0.0225,y,05:20,1.13,00:25,stage2,y,y,
36,Arp241_1,219.460375,30.48319722,0.03472,y,06:20,1.0004,00:15,stage2,,n,
37,Arp241_2,219.462625,30.479775,0.03472,y,06:20,1.0004,00:15,stage2,,n,
38,Arp242_1,191.54225,30.73128889,0.02205,y,04:24,1.005,22:32,stage2,,n,
39,Arp242_2,191.5458333,30.72224722,0.02205,y,04:24,1.005,22:32,stage2,,n,
40,Arp244_1,180.472083,-18.876944,0.00569,y,03:40,1.48,23:38,stage4,y,y,
41,Arp244_2,180.4692189,-18.89114748,0.00569,y,03:40,1.48,23:38,stage4,y,y,
42,Arp247_1,125.89175,21.34732778,0.01108,y,00:07,1.16,18:25,stage3,,n,
43,Arp247_2,125.886,21.33809167,0.01108,y,00:07,1.16,18:25,stage3,,n,
44,Arp255_1,148.2867906,7.866167172,0.04106,y,01:32,1.068,20:21,stage3,n,n,
45,Arp255_2,148.2932549,7.873482323,0.04106,y,01:32,1.068,20:21,stage3,n,n,
46,Arp272_1,241.344908,17.755051,0.03685,y,07:43,1.019,02:13,stage1,,y,
