,names,RA,Dec,Redshift,observable,when_best,best_airmass,time_rises,g(mag),want_observe,observe_both,exp_time
0,Arp101_1,241.13225,14.81913611,None,y,07:47,1.03,02:15,14.809,n,n,
1,Arp101_2,241.1181667,14.78210278,None,y,07:47,1.03,02:15,14.817,n,n,
2,Arp105_1,167.80375,28.71178056,0.021,y,02:53,1,20:52,15.112,n,n,
3,Arp105_2,167.8045833,28.696225,0.021,y,02:53,1,20:52,14.206,n,n,
4,Arp106_1,183.8992917,28.17772778,0.02199,y,03:53,1.0001,22:00,14.074,y,y,
5,Arp106_2,183.9040417,28.169525,0.02199,y,03:53,1.0001,22:00,15.400,y,y,
6,Arp107_1,163.0619583,30.05786389,0.03318,y,02:32,1.0003,20:34,14.880,y,y,
7,Arp107_2,163.073125,30.072575,0.03318,y,02:32,1.0003,20:34,15.274,y,y,
8,Arp142_1,144.4333333,2.760163889,0.02329,y,01:19,1.11,20:16,14.662,y,y,
9,Arp142_2,144.437875,2.746886111,0.02329,y,01:19,1.11,20:16,14.405,y,y,
10,Arp143_1,116.7207083,39.03211111,0.01339,y,23:28,1.015,17:12,14.040,y,y,
11,Arp143_2,116.726,39.015025,0.01339,y,23:28,1.015,17:12,14.340,y,y,
12,Arp148_1,165.971667,40.849167,0.03452,y,02:46,1.023,20:21,15.580,y,n,
13,Arp148_2,165.971667,40.849167,0.03452,y,02:46,1.023,20:21,15.580,y,n,
14,Arp172_1,241.3879167,17.60128611,0.029,y,07:47,1.019,02:13,14.610,y,y,
15,Arp172_2,241.3907917,17.59357778,0.029,y,07:47,1.019,02:13,15.550,y,y,
16,Arp173_1,222.8720833,9.334830556,0.028,y,06:30,1.059,01:17,14.730,y,y,
17,Arp173_2,222.8663333,9.321913889,0.028,y,06:30,1.059,01:17,15.690,y,y,
18,Arp181_1,157.0693333,79.82349167,None,y,02:06,1.59,20:00,14.640,y,y,
19,Arp181_2,157.0725,79.81300278,None,y,02:06,1.59,20:00,13.960,y,y,
20,Arp191_1,166.8368333,18.43294444,0.02739,y,02:49,1.017,21:13,15.260,y,n,
21,Arp191_2,166.831875,18.42978056,0.02739,y,02:49,1.017,21:13,15.250,y,n,
22,Arp199_1,214.2605417,36.57129444,0.01024,y,05:58,1.0099,23:45,13.970,y,n,
23,Arp199_2,214.26775,36.57529722,0.01024,y,05:58,1.0099,23:45,14.190,y,n,
24,Arp214_1,173.1475,53.06667,0.00331,y,03:19,1.098,20:16,13.350,y,y,
25,Arp214_2,173.456624,53.125675,0.00331,y,03:19,1.098,20:16,12.410,y,y,
26,Arp218_1,238.403625,18.60960833,0.075,y,07:32,1.016,02:01,16.230,n,n,
27,Arp218_2,238.3929167,18.60372222,0.075,y,07:32,1.016,02:01,16.300,n,n,
28,Arp237_1,141.931125,12.28725,0.02899,y,01:11,1.042,19:46,14.940,y,n,
29,Arp237_2,141.93525,12.288225,0.02899,y,01:11,1.042,19:46,15.780,y,n,
30,Arp238_1,198.8796422,62.1292197,0.03106,y,04:55,1.2,21:13,15.170,y,y,
31,Arp238_2,198.8836533,62.12464798,0.03106,y,04:55,1.2,21:13,15.080,y,y,
32,Arp239_1,205.413875,55.67073056,0.02489,y,05:24,1.12,22:10,14.290,y,y,
33,Arp239_2,205.4191667,55.67385,0.02489,y,05:24,1.12,22:10,14.950,y,y,
34,Arp240_1,204.9703333,0.839844444,0.0225,y,05:20,1.13,00:25,14.110,y,y,
35,Arp240_2,204.9902083,0.830666667,0.0225,y,05:20,1.13,00:25,14.100,y,y,
36,Arp241_1,219.460375,30.48319722,0.03472,y,06:20,1.0004,00:15,15.690,y,y,
37,Arp241_2,219.462625,30.479775,0.03472,y,06:20,1.0004,00:15,15.310,y,y,
38,Arp242_1,191.54225,30.73128889,0.02205,y,04:24,1.005,22:32,14.680,y,y,
39,Arp242_2,191.5458333,30.72224722,0.02205,y,04:24,1.005,22:32,14.370,y,y,
40,Arp244_1,180.472083,-18.876944,0.00569,y,03:40,1.48,23:38,10.910,n,n,
41,Arp244_2,180.4692189,-18.89114748,0.00569,y,03:40,1.48,23:38,10.000,n,n,
42,Arp247_1,125.89175,21.34732778,0.01108,y,00:07,1.16,18:25,14.440,y,n,
43,Arp247_2,125.886,21.33809167,0.01108,y,00:07,1.16,18:25,14.820,y,n,
44,Arp255_1,148.2867906,7.866167172,0.04106,y,01:32,1.068,20:21,15.570,y,y,
45,Arp255_2,148.2932549,7.873482323,0.04106,y,01:32,1.068,20:21,16.290,y,y,
46,Arp272_1,241.344908,17.755051,0.03685,y,07:43,1.019,02:13,14.950,y,y,
47,Arp272_2,241.3423757,17.75411679,0.03685,y,07:43,1.019,02:13,16.230,y,y,
48,Arp273_1,35.3775,39.366111,0.024467,y,18:05,1.018,11:41,19.222,y,y,
49,Arp273_2,35.38567654,39.35689751,0.024467,y,18:05,1.018,11:41,18.091,y,y,
50,Arp274_1,218.7863333,5.358805556,0.0289,y,06:17,1.087,01:07,14.300,n,n,
51,Arp274_2,218.7765833,5.356466667,0.0289,y,06:17,1.087,01:07,18.580,n,n,
52,Arp285_1,141.0124167,49.20393889,0.00967,y,01:08,1.066,18:21,13.690,n,n,
53,Arp285_2,141.06671,49.2492,0.00967,y,01:08,1.066,18:21,13.650,n,n,
54,Arp294_1,174.9268333,31.90929444,0.00892,y,03:19,1.0017,21:18,13.280,n,n,
55,Arp294_2,174.933125,31.93126944,0.00892,y,03:19,1.0017,21:18,13.520,n,n,
56,Arp297_1,221.331875,38.73127222,0.1515,y,06:20,1.106,00:08,13.850,n,n,
57,Arp297_2,221.3178333,38.72864167,0.1515,y,06:20,1.106,00:08,15.380,n,n,
