,Names,Prim_RA,Prim_DEC,Sec_RA,Sec_DEC,Redshift,block_reduce,filters,sim_x,sim_y,u_conv,g_conv,r_conv,i_conv,z_conv
0,Arp240,204.9703333,0.839844444,204.9902083,0.830666667,0.0225,12,SLOAN,1.783929876,1.635269053,0.0117213,0.00440017,0.00551778,0.00644776,0.0354372
1,Arp290,30.95716667,14.73864444,30.93729167,14.70905556,0.01171,15,SLOAN,-1.077891954,-1.959803553,0.0101111,0.00340783,0.00483485,0.00624951,0.0321246
2,Arp142,144.4333333,2.760163889,144.437875,2.746886111,0.02329,5,SLOAN,0.384333014,-1.537332054,0.00769431,0.00330366,0.00481662,0.00671722,0.0302404
3,Arp318,32.35233333,-10.13600556,32.33729167,-10.13315833,0.0132,12,SLOAN,-1.058475935,0.264618984,0.00839212,0.00342759,0.00497779,0.00691016,0.0315714
4,Arp256,4.708583333,-10.361625,4.711833333,-10.37695,0.0273,8,SLOAN,2.032409477,-0.597767493,0.014771,0.00376756,0.00517871,0.00651888,0.0338793
5,UGC11751,322.2472783,11.38196919,322.2427587,11.36650271,0.02909,8,SLOAN,-1.016938084,-2.160993428,0.00997045,0.00389947,0.00506252,0.00686671,0.0426316
6,Heart,238.2859583,54.14735,238.2870417,54.14896111,0.04,2,SLOAN,-0.043128332,0.474411648,0.0107595,0.00428302,0.0052297,0.00616742,0.0337444
7,NGC4320,185.7402917,10.547975,185.7411667,10.54915556,0.02668,6,SLOAN,0.087694464,0.087694464,0.00766703,0.00404217,0.00491532,0.00652201,0.021055
8,Arp255,148.2867906,7.866167172,148.2932549,7.873482323,0.04106,5,SLOAN,1.326451658,1.326451658,0.00791062,0.00343769,0.00470181,0.00628085,0.0324943
9,Arp82,122.80625,25.20661111,122.8146667,25.17885833,0.01368,13,SLOAN,-0.692815802,-1.880500035,0.00896357,0.00338293,0.00468708,0.00614322,0.0355035
10,Arp199,214.2605417,36.57129444,214.26775,36.57529722,0.01024,6,SLOAN,0.343372577,0.309035319,0.00991705,0.00363422,0.00504677,0.00658056,0.0399495
11,Arp57,199.1975674,14.42769116,199.2158016,14.41690732,0.048,7,SLOAN,4.126552868,-2.691230131,0.00859494,0.00354603,0.00493371,0.00649281,0.0334284
12,Arp247,125.89175,21.34732778,125.886,21.33809167,0.01108,5,SLOAN,-0.463948323,-0.402088546,0.00821755,0.00413332,0.00510522,0.0068044,0.0211439
13,Arp241,219.460375,30.48319722,219.462625,30.479775,0.03472,4,SLOAN,0.527427725,-0.452080907,0.00828035,0.00424991,0.00517744,0.00693966,0.0224322
14,Arp107,163.0619583,30.05786389,163.073125,30.072575,0.03318,8,SLOAN,2.45270395,1.875597138,0.0108765,0.00428696,0.0054441,0.00635916,0.0344701
15,Arp294,174.9268333,31.90929444,174.933125,31.93126944,0.00892,10,SLOAN,0.399457268,0.948711011,0.00971888,0.00382648,0.00523686,0.00695709,0.0364977
16,Arp172,241.3879167,17.60128611,241.3907917,17.59357778,0.029,7,SLOAN,0.776268694,-0.887164221,0.0103119,0.0038791,0.00529763,0.00707004,0.0377273
17,Arp302,224.252875,24.61760556,224.2516667,24.6067,0.03286,7,SLOAN,0.250145523,-1.876091424,0.00861503,0.00436382,0.00528783,0.00712428,0.0229867
18,Arp242,191.54225,30.73128889,191.5458333,30.72224722,0.02205,8,SLOAN,0.485890393,-0.971780786,0.0140506,0.00399664,0.00543871,0.00685978,0.035611
19,Arp72,236.7427544,17.88458157,236.722123,17.87232298,0.011,8,SLOAN,-0.835300279,-1.031841521,0.0116502,0.00388806,0.00531966,0.00678101,0.0401462
