Name RA Dec Equinox Band=Mag Mode Exposure_time_split(s)
Arp105_s3 11:11:12.90 +28:42:42.2 J2000.0 B=14.7 LIFU+LR_1x1 5*1200
Arp148_s1 11:03:53.20 +40:50:57.0 J2000.0 B=14.29 LIFU+LR_1x1 5*1200
Arp172_s3 16:05:33.61 +17:35:47.4 J2000.0 B=15.0 LIFU+LR_1x1 5*1200
Heart_s4 15:53:08.63 +54:08:50.5 J2000.0 B=15.7 LIFU+LR_1x1 5*1200
Arp240_1_s2 13:39:52.88 +00:50:23.4 J2000.0 B=12.6 LIFU+LR_1x1 2*1200
Arp240_2_s2 13:39:57.65 +00:49:50.4 J2000.0 B=13.8 LIFU+LR_1x1 5*1200
NGC4320_s4 12:22:57.67 +10:32:52.7 J2000.0 B=15.3 LIFU+LR_1x1 5*1200
Arp294_1_s1 11:39:42.44 +31:54:33.5 J2000.0 B=14.62 LIFU+LR_1x1 5*1200
Arp294_2_s1 11:39:44.59 +31:55:52.4 J2000.0 B=13.3 LIFU+LR_1x1 4*1200
Arp238_s3 13:15:32.93 +62:07:38.5 J2000.0 B=14.4 LIFU+LR_1x1 5*1200
Arp239_s2 13:41:41.68 +55:40:22.7 J2000.0 B=13.6 LIFU+LR_1x1 5*1200
Arp191_s4 11:07:20.84 +18:25:58.6 J2000.0 B=14.7 LIFU+LR_1x1 5*1200
Arp241_s2 14:37:50.49 +30:28:59.5 J2000.0 B=15.0 LIFU+LR_1x1 5*1200
Arp199_s1 14:17:03.79 +36:34:22.3 J2000.0 B=13.2 LIFU+LR_1x1 4*1200
